district	street	housenumber	totalscore	all_infra	kindergarten	school	college	university	language_school	music_school	training	sports_centre	community_centre	playground	clinic
район Кунцево	Ярцевская улица	27 к1	84.57	f	34	24	7	2	0	1	3	7	5	139	18
район Новогиреево	Мартеновская улица	16/36	84.26	f	31	31	4	1	1	0	4	6	5	112	14
район Свиблово	Вересковая улица	1 к2	82.96	t	31	25	1	2	4	3	3	10	2	189	7
район Южное Тушино	улица Свободы	43	82.29	t	21	15	3	1	6	1	7	8	18	213	16
район Царицыно	Кантемировская улица	31	81.87	f	38	25	0	1	0	3	4	4	5	176	11
Головинский район	улица Лавочкина	28/42	80.72	t	33	18	5	7	2	1	2	8	3	160	12
Можайский район	Гвардейская улица	15 к1	79.32	f	35	28	5	0	0	0	1	6	3	123	9
район Коньково	Профсоюзная улица	110 к2	78.75	f	35	22	0	7	2	1	0	8	2	164	11
район Левобережный	Фестивальная улица	4	77.87	t	33	18	3	4	2	1	3	10	2	174	13
Нагорный район	Болотниковская улица	11 к1	77.67	f	31	31	3	3	0	2	0	3	3	154	13
район Ивановское	Напольный проезд	1	76.81	f	32	28	3	0	0	0	2	6	4	170	11
район Чертаново Северное	Чертановская улица	1А к1	76.25	f	36	24	2	0	0	1	4	4	4	113	12
Ярославский район	Хибинский проезд	26	75.48	f	29	16	5	4	0	0	4	10	6	141	7
район Коптево	улица Космонавта Волкова	29	74.97	f	31	18	5	8	1	0	3	4	3	181	16
Донской район	Донская улица	33	74.48	t	24	16	6	8	2	1	11	2	2	221	27
район Братеево	улица Борисовские Пруды	16 к2	74.46	f	36	25	0	1	2	0	1	5	3	138	8
район Строгино	улица Маршала Катукова	20 к1	74.17	t	30	21	1	1	2	2	1	8	7	108	9
район Южное Медведково	Заповедная улица	18 к2	73.61	t	33	23	1	3	1	1	3	6	1	151	10
район Западное Дегунино	Коровинское шоссе	15 к1	73.24	f	36	22	2	0	3	1	1	4	2	209	15
район Чертаново Центральное	Кировоградская улица	32 к1	72.54	f	34	26	2	0	0	0	3	3	3	147	7
район Выхино-Жулебино	Рязанский проспект	58/1	71.61	f	30	23	1	5	0	1	0	8	2	152	9
Алтуфьевский район	Алтуфьевское шоссе	64В	71.57	t	34	25	2	1	1	1	1	3	2	149	8
район Тёплый Стан	улица Островитянова	16 к2	71.54	f	36	17	1	4	1	1	0	7	3	145	9
район Южное Бутово	Южнобутовская улица	9	71.26	f	35	27	0	0	0	0	2	5	1	122	4
Войковский район	улица Космонавта Волкова	17 к1	69.81	f	23	17	6	7	0	1	3	7	4	164	17
район Солнцево	улица Богданова	26 к2	66.57	f	31	22	0	0	2	1	2	5	2	144	13
район Чертаново Южное	Кировоградский проезд	3 к1	66.46	f	34	22	2	0	0	0	2	3	2	141	5
район Москворечье-Сабурово	Кантемировская улица	16 к1А	66.42	f	30	19	0	2	0	2	4	4	4	131	11
район Ростокино	улица Сергея Эйзенштейна	2	66.14	t	20	10	6	10	1	1	5	10	2	102	12
Тропарёво-Никулино	проспект Вернадского	105 к4	65.95	f	20	22	0	8	2	1	3	6	3	76	19
район Крылатское	Рублёвское шоссе	34 к1	65.48	f	28	18	1	2	0	0	2	8	5	132	16
район Вешняки	улица Старый Гай	2 к3	64.12	t	28	22	1	1	1	1	2	6	1	106	6
район Печатники	улица Кухмистерова	20	62.96	f	28	22	2	2	1	1	0	5	0	190	6
район Фили-Давыдково	Инициативная улица	5 к1	61.81	f	27	20	2	3	0	2	1	2	3	175	6
район Новокосино	Суздальская улица	18 к3	60.8	f	29	17	1	0	1	1	1	9	1	71	9
район Марфино	улица Кашёнкин Луг	2 к1	60.57	f	21	13	3	5	0	1	4	9	3	147	10
район Нагатинский Затон	Судостроительная улица	12	60.03	f	26	22	4	1	1	0	0	4	1	89	14
Нижегородский район	Боенский проезд	2	58.25	f	19	16	7	7	1	0	0	6	1	115	10
